method,timestamp,identity_similarity,identity_preserved,identity_accuracy,original_emotion,stylized_emotion,emotion_preserved,emotion_accuracy,emotion_distribution_similarity,ssim,ssim_percentage,psnr,edge_preservation,edge_preservation_percentage,color_similarity,color_similarity_percentage,cartoon_quality,cartoon_quality_percentage,overall_preservation,overall_preservation_percentage,quality_preservation_balance,balance_percentage,image_name
Our Method,2025-10-16 05:51:54.556654,0.7688301182922096,True,76.88301182922096,happy,happy,True,100.0,0.9680368900299072,0.3758731017395039,37.58731017395039,11.399627282407828,0.0899063887553381,8.99063887553381,0.20110701042464404,20.110701042464406,10.096647913315717,1009.6647913315717,0.549475665712561,54.947566571256104,5.323061789514139,532.3061789514139,celebhq_0011.jpg
Our Adaptive,2025-10-16 05:51:57.040552,0.8315155742692854,True,83.15155742692853,happy,happy,True,100.0,0.9801664352416992,0.7394581388423183,73.94581388423182,16.695176425281293,0.2125648359106113,21.25648359106113,0.6006147405051808,60.06147405051808,6.212077282176298,621.2077282176298,0.7193232365116181,71.93232365116181,3.4657002593439583,346.57002593439586,celebhq_0011.jpg
OpenCV Baseline,2025-10-16 06:01:30.027291,0.6281805242877544,True,62.81805242877544,surprise,neutral,False,0.0,0.16887789964675903,0.5329956569837316,53.299565698373165,15.488330234525954,0.08106289942818702,8.106289942818702,0.12605345850128782,12.605345850128783,10.334383755852194,1033.4383755852193,0.3261207423724939,32.61207423724939,5.330252249112344,533.0252249112344,celebhq_0012.jpg
Simple Quantization,2025-10-16 06:01:33.921258,0.5584010911668897,False,55.84010911668897,surprise,angry,False,0.0,0.17151343822479248,0.8950841918877303,89.50841918877302,30.21975928548432,0.3681693172306589,36.816931723065885,0.25961108567547614,25.961108567547615,2.5246294627470127,252.46294627470127,0.4407042261635333,44.070422616353326,1.482666844455273,148.26668444552732,celebhq_0012.jpg
Edge-Preserving,2025-10-16 06:01:36.226818,0.6664563506965671,True,66.6456350696567,surprise,happy,False,0.0,0.17526471614837646,0.8600306274546808,86.00306274546809,29.569520217782703,0.4286328460877042,42.86328460877042,0.8436145551761399,84.36145551761399,1.0510250091552735,105.10250091552736,0.5627801408894828,56.27801408894828,0.8069025750223782,80.69025750223781,celebhq_0012.jpg
Our Method,2025-10-16 06:01:38.485625,0.520687596175276,False,52.068759617527604,surprise,neutral,False,0.0,0.16755151748657227,0.33146265963430677,33.14626596343068,13.316476364215378,0.04641573464212082,4.641573464212082,-0.04299014256114766,-4.2990142561147655,15.871669805190143,1587.1669805190143,0.22301264959159015,22.301264959159013,8.047341227390866,804.7341227390866,celebhq_0012.jpg
Our Adaptive,2025-10-16 06:01:41.177290,0.5852196569353414,False,58.52196569353414,surprise,sad,False,0.0,0.16954869031906128,0.877226055034964,87.7226055034964,23.4573399897754,0.32915116379683307,32.915116379683305,0.9440402396935029,94.40402396935029,3.603568707634421,360.3568707634421,0.5419898186111456,54.19898186111456,2.0727792631227833,207.27792631227834,celebhq_0012.jpg
OpenCV Baseline,2025-10-16 06:08:23.722760,0.8435038212679513,True,84.35038212679513,happy,neutral,False,0.0,0.18437087535858154,0.2244065131164737,22.44065131164737,9.016839335752683,0.06418073105357722,6.418073105357721,0.1245639922387739,12.45639922387739,19.578522145888385,1957.8522145888385,0.32624415749753277,32.624415749753275,9.95238315169296,995.238315169296,celebhq_0013.jpg
Simple Quantization,2025-10-16 06:08:27.814708,0.9748602142077889,True,97.48602142077888,happy,happy,True,100.0,0.9283447861671448,0.8707686149674936,87.07686149674936,30.75305372449779,0.4769059543683918,47.690595436839175,0.22566779578592855,22.566779578592854,2.4534594008501838,245.34594008501838,0.7719978497789834,77.19978497789835,1.6127286253145836,161.27286253145837,celebhq_0013.jpg
Edge-Preserving,2025-10-16 06:08:30.497232,0.9044138336619338,True,90.44138336619338,happy,happy,True,100.0,0.9289900064468384,0.7855964824595584,78.55964824595584,29.734637272737864,0.21050228310502284,21.050228310502284,0.9373923220407109,93.73923220407109,0.8415519175809973,84.15519175809973,0.8006276373623519,80.06276373623518,0.8210897774716746,82.10897774716746,celebhq_0013.jpg
